Time,Source,Destination,Protocol,Length,Info
413.476562,192.168.18.46,34.199.93.197,HTTP,309,POST /post HTTP/1.1  (application/x-www-form-urlencoded)
602.280319,192.168.18.46,34.203.15.122,HTTP,309,POST /post HTTP/1.1  (application/x-www-form-urlencoded)
56.173828,81.131.67.131,85.96.110.115,UDP,61,41730  >  6346 Len=19
660.57803,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=420/41985, ttl=64 (request in 9234)"
445.617747,192.168.18.1,192.168.18.46,DNS,930,Standard query response 0x8ec2 TXT google.com TXT TXT TXT TXT TXT TXT TXT TXT TXT TXT TXT TXT
1487.831152,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=105555595 Ack=172976 Win=504576 Len=1440 [TCP segment of a reassembled PDU]"
2006.772029,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=2046/65031, ttl=64 (request in 11640)"
422.911039,192.168.18.46,192.168.18.1,TCP,54,61947  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0
2142.251121,2620:1ec:c11::239,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,74,"443  >  61821 [RST, ACK] Seq=7634 Ack=5885 Win=0 Len=0"
21.641602,81.131.67.131,24.43.167.12,UDP,61,41730  >  6346 Len=19
72.461393,127.0.0.1,127.0.0.1,FTP,65,Request: STOR bzxtqcegmz.txt
2168.280891,192.168.137.1,255.255.255.255,UDP,56,49733  >  3289 Len=14
65.400151,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
1148.074145,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=53836650 Ack=87898 Win=291328 Len=1440 [TCP segment of a reassembled PDU]"
7.836751,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
478.423543,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=934/42499, ttl=128 (reply in 1771)"
442.636565,192.168.18.1,192.168.18.46,DNS,135,Standard query response 0x20d7 A httpbin.org A 34.203.15.122 A 3.230.204.70 A 34.193.132.77 A 34.199.93.197
11.921875,81.131.67.131,210.23.168.206,UDP,550,41730  >  4014 Len=508
1662.224088,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:3f0:4005:407::200e,TCP,1514,59745  >  443 [ACK] Seq=2311578 Ack=1017989 Win=512 Len=1440 [TCP segment of a reassembled PDU]
379.158891,192.168.18.1,192.168.18.46,DNS,91,Standard query response 0x307a MX google.com MX 10 smtp.google.com
313.977595,34.193.132.77,192.168.18.46,TCP,56,443  >  60997 [ACK] Seq=5472 Ack=955 Win=29184 Len=0
411.680325,192.168.18.46,34.199.93.197,HTTP,307,PUT /put HTTP/1.1  (application/x-www-form-urlencoded)
540.382072,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=975/52995, ttl=128 (reply in 1915)"
380.390697,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=207/52992, ttl=64 (request in 7802)"
2144.628408,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=201921980 Ack=338700 Win=917504 Len=1440 [TCP segment of a reassembled PDU]
124.25612,190.157.8.101,192.168.20.26,DNS,254,Standard query response 0x16b4 HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www-bing-com.dual-a-0001.a-msedge.net CNAME dual-a-0001.a-msedge.net SOA ns1.a-msedge.net
954.434112,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=22536329 Ack=38626 Win=164608 Len=1440 [TCP segment of a reassembled PDU]
28.172085,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
432.72738,192.168.18.46,34.199.93.197,HTTP,199,GET /get HTTP/1.1 
6.025996,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
883.487228,172.217.3.78,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=589/19714, ttl=114 (request in 10416)"
860.15469,192.168.137.147,172.16.0.73,HTTP,292,CONNECT www.google.com:443 HTTP/1.1 
44.779297,81.131.67.131,213.213.216.6,UDP,50,41730  >  6346 Len=8
455.518746,192.168.18.46,192.168.18.1,DNS,70,Standard query 0x90e1 TXT google.com
1366.495097,192.168.137.1,255.255.255.255,UDP,56,58925  >  3289 Len=14
2222.892874,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=2187/35592, ttl=128 (reply in 12142)"
459.103733,192.168.18.46,34.199.93.197,HTTP,309,POST /post HTTP/1.1  (application/x-www-form-urlencoded)
1371.512908,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=1572/9222, ttl=64 (request in 9207)"
6.65625,81.131.67.131,59.190.36.108,UDP,61,41730  >  6346 Len=19
209.422527,192.168.18.1,192.168.18.46,DNS,91,Standard query response 0x8c7c MX google.com MX 10 smtp.google.com
35.206818,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
602.822927,192.168.18.46,34.203.15.122,HTTP,224,DELETE /delete HTTP/1.1 
501.488189,192.168.18.46,192.168.18.1,DNS,70,Standard query 0x5378 A google.com
838.526055,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=2787000 Ack=7286 Win=83968 Len=1440 [TCP segment of a reassembled PDU]
37.223184,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
2686.711104,13.107.4.52,192.168.20.26,HTTP,593,HTTP/1.1 200 OK  (text/plain)
2643.913154,2800:3f0:4005:6::9,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1294,"443  >  62007 [PSH, ACK] Seq=1206880 Ack=2859 Win=71168 Len=1220 [TCP segment of a reassembled PDU]"
877.358422,192.168.137.147,172.217.3.78,ICMP,74,"Echo (ping) request  id=0x0001, seq=583/18178, ttl=128 (reply in 10400)"
660.383067,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1047/5892, ttl=128 (reply in 2414)"
2438.417289,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=2357/13577, ttl=128 (reply in 13771)"
584.356674,192.168.18.46,34.203.15.122,HTTP,307,PUT /put HTTP/1.1  (application/x-www-form-urlencoded)
11.046505,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
859.467047,172.16.0.73,192.168.137.147,HTTP,93,HTTP/1.1 200 Connection established 
355.470526,192.168.18.46,192.168.18.1,DNS,70,Standard query 0xf271 TXT google.com
52529.668559538,127.0.0.1,127.0.0.1,HTTP,392,GET /my/foobar HTTP/1.1 
38.059925,192.168.18.1,192.168.18.46,TCP,54,"53  >  58818 [FIN, ACK] Seq=632 Ack=31 Win=14600 Len=0"
568.0451,192.168.18.46,34.203.15.122,HTTP,199,GET /get HTTP/1.1 
174.213002,192.168.18.1,192.168.18.46,TCP,66,"53  >  59890 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=4"
1724.48067,2800:480:ff50:b1::b536:a092,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61561 [ACK] Seq=3399086 Ack=2503 Win=64128 Len=1440 [TCP segment of a reassembled PDU]
249.83143,192.168.18.1,192.168.18.46,DNS,685,Standard query response 0x38ca TXT yahoo.com TXT TXT TXT TXT TXT TXT TXT TXT TXT
336.44416,192.168.18.46,192.168.18.1,DNS,69,Standard query 0x7c88 MX yahoo.com
65.401509,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
