Time,Source,Destination,Protocol,Length,Info
303.394694,192.168.18.46,192.168.18.1,DNS,70,Standard query 0x2239 TXT google.com
179.183334,192.168.18.46,192.168.18.1,DNS,69,Standard query 0xba58 MX yahoo.com
83.753453,192.168.18.1,192.168.18.46,DNS,148,Standard query response 0x23ae MX yahoo.com MX 1 mta6.am0.yahoodns.net MX 1 mta5.am0.yahoodns.net MX 1 mta7.am0.yahoodns.net
172.485195,192.168.18.46,192.168.18.1,DNS,71,Standard query 0xe45d TXT httpbin.org
1931.446877,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:481:2300::4,DNS,129,Standard query 0x75b6 HTTPS data-edge.smartscreen.microsoft.com
222.981479,192.168.18.1,192.168.18.46,DNS,91,Standard query response 0x7a23 MX google.com MX 10 smtp.google.com
126.903914,192.168.18.1,192.168.18.46,DNS,135,Standard query response 0x8bcd A httpbin.org A 34.199.93.197 A 34.203.15.122 A 3.230.204.70 A 34.193.132.77
488.845479,192.168.18.1,192.168.18.46,DNS,165,Standard query response 0xc092 A yahoo.com A 74.6.231.20 A 98.137.11.164 A 98.137.11.163 A 74.6.231.21 A 74.6.143.26 A 74.6.143.25
153.85337,192.168.18.1,192.168.18.46,DNS,685,Standard query response 0x5ab4 TXT yahoo.com TXT TXT TXT TXT TXT TXT TXT TXT TXT
1648.140167,192.168.20.26,190.157.8.101,DNS,89,Standard query 0xdc97 HTTPS chat.google.com
301.463017,192.168.18.46,192.168.18.1,DNS,69,Standard query 0x880c TXT yahoo.com
301.915138,192.168.18.46,192.168.18.1,DNS,71,Standard query 0x7b2d TXT httpbin.org
18.342293,190.157.8.101,192.168.20.26,DNS,162,Standard query response 0x4fcc HTTPS disqus.com SOA ns-179.awsdns-22.com
393.240028,192.168.18.46,192.168.18.1,DNS,70,Standard query 0x3bda A google.com
185.95526,192.168.18.46,192.168.18.1,DNS,70,Standard query 0xb30d MX google.com
400.740814,192.168.18.46,192.168.18.1,DNS,84,Standard query 0x9178 TXT google.com
346.212886,192.168.18.46,192.168.18.1,DNS,83,Standard query 0x2ef0 TXT yahoo.com
9.289352,192.168.18.1,192.168.18.46,DNS,685,Standard query response 0x3512 TXT yahoo.com TXT TXT TXT TXT TXT TXT TXT TXT TXT
477.725967,192.168.18.1,192.168.18.46,DNS,148,Standard query response 0xa986 MX yahoo.com MX 1 mta6.am0.yahoodns.net MX 1 mta5.am0.yahoodns.net MX 1 mta7.am0.yahoodns.net
356.305731,192.168.18.46,192.168.18.1,DNS,69,Standard query 0x7ded A yahoo.com
152.653527,192.168.18.1,192.168.18.46,DNS,91,Standard query response 0x37f3 MX google.com MX 10 smtp.google.com
280.954958,192.168.18.46,192.168.18.1,DNS,83,Standard query 0x59df TXT yahoo.com
500.655077,192.168.18.1,192.168.18.46,DNS,95,Standard query response 0x052e TXT httpbin.org TXT
497.478317,192.168.18.46,192.168.18.1,DNS,69,Standard query 0x581f TXT yahoo.com
519.365207,192.168.18.1,192.168.18.46,DNS,685,Standard query response 0x04d2 TXT yahoo.com TXT TXT TXT TXT TXT TXT TXT TXT TXT
