Time,Source,Destination,Protocol,Length,Info
27.161044,127.0.0.1,127.0.0.1,FTP,90,"Response: 227 Entering passive mode (127,0,0,1,204,5)."
44.262723,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
0.000823,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,202,191)."
43.252696,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
58.358691,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
76.490674,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
35.202689,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,204,105)."
67.409182,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
58.356482,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
53.329048,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
72.45642,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,206,49)."
13.070711,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,203,94)."
64.388387,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,205,194)."
7.027854,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
77.508387,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
52.309607,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
55.333704,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
53.325271,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE I
76.503274,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
77.520359,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
6.026474,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
15.085306,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
17.103833,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
28.172085,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
58.360966,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
43.143555,2001:638:902:1:201:2ff:fee2:7596,2002:5183:4383::5183:4383,FTP,124,Response: 200 LPRT command successful.
27.167416,127.0.0.1,127.0.0.1,FTP,65,Request: DELE zqhfyfzwdb.txt
29.177026,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
60.367786,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
71.436538,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
