Time,Source,Destination,Protocol,Length,Info
428.609678,192.168.18.46,34.199.93.197,HTTP,199,GET /get HTTP/1.1 
553.626616,192.168.18.46,34.203.15.122,HTTP,224,DELETE /delete HTTP/1.1 
597.736727,192.168.18.46,34.203.15.122,HTTP,199,GET /get HTTP/1.1 
475.685532,192.168.18.46,34.193.132.77,HTTP,199,GET /get HTTP/1.1 
2249.981814,77.234.42.238,192.168.137.147,HTTP,350,HTTP/1.1 200 OK 
25.967967,192.168.137.147,23.8.25.52,HTTP,281,GET / HTTP/1.1 
62.211745,10.251.23.139,86.66.0.227,HTTP,371,GET /cfgnbXchilli_201309051000.xml?ip_data=95.136.242.54&ip_voip=10.251.23.139&ip_tv=&mac=E0A1D718C270&mac_ppp=E0A1D718C273&login_ppp=E0A1D718C270@neufpnp&genrel=201309051000&hw=NB6-FXC-r2&sw=NB6-MAIN-R3.3.4&hotspot_mode=4&hotspot_status=off HTTP/1.1 
52979.552060757,127.0.0.1,127.0.0.1,HTTP,399,GET /b/c/d;p?q&path=g HTTP/1.1 
868.395335,172.16.0.73,192.168.137.147,HTTP,93,HTTP/1.1 200 Connection established 
1376.208102,172.16.0.73,192.168.137.147,HTTP,93,HTTP/1.1 200 Connection established 
859.301261,192.168.137.147,172.16.0.73,HTTP,284,CONNECT r.bing.com:443 HTTP/1.1 
494.926229,192.168.18.46,34.193.132.77,HTTP,199,GET /get HTTP/1.1 
61.925376,10.251.23.139,86.66.0.227,HTTP,351,GET /cfgnb6dslgeneral.xml?ip_data=95.136.242.54&ip_voip=10.251.23.139&ip_tv=&mac=E0A1D718C270&mac_ppp=E0A1D718C273&login_ppp=E0A1D718C270@neufpnp&genrel=0&hw=NB6-FXC-r2&sw=NB6-MAIN-R3.3.4&hotspot_mode=4&hotspot_status=off HTTP/1.1 
813.28793,192.168.137.147,172.16.0.73,HTTP,300,CONNECT edge.microsoft.com:443 HTTP/1.1 
919.249754,192.168.137.147,172.16.0.73,HTTP,334,CONNECT data-edge.smartscreen.microsoft.com:443 HTTP/1.1 
52916.833731255,127.0.0.1,127.0.0.1,HTTP,400,GET /b/c/d;p?q&path=g/ HTTP/1.1 
813.293487,172.16.0.73,192.168.137.147,HTTP,93,HTTP/1.1 200 Connection established 
970.696626,172.16.0.73,192.168.137.147,HTTP,93,HTTP/1.1 200 Connection established 
62.287331,10.251.23.139,86.66.0.227,HTTP,352,GET /cfgnb4sip.xml?ip_data=95.136.242.54&ip_voip=10.251.23.139&ip_tv=&mac=E0A1D718C270&mac_ppp=E0A1D718C273&login_ppp=E0A1D718C270@neufpnp&genrel=201303121117&hw=NB6-FXC-r2&sw=NB6-MAIN-R3.3.4&hotspot_mode=4&hotspot_status=off HTTP/1.1 
598.553247,192.168.18.46,34.203.15.122,HTTP,224,DELETE /delete HTTP/1.1 
422.184421,192.168.18.46,34.199.93.197,HTTP,309,POST /post HTTP/1.1  (application/x-www-form-urlencoded)
441.996367,192.168.18.46,34.199.93.197,HTTP,309,POST /post HTTP/1.1  (application/x-www-form-urlencoded)
