Time,Source,Destination,Protocol,Length,Info
1634.047541,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1780/62470, ttl=128 (reply in 10214)"
2346.86338,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=2281/59656, ttl=64 (request in 12830)"
284.14564,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=798/7683, ttl=64 (request in 1333)"
884.50135,172.217.3.78,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=590/19970, ttl=114 (request in 10422)"
1604.890866,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=1759/57094, ttl=64 (request in 10159)"
100.152078048,192.168.200.21,8.8.8.8,ICMP,42,"Echo (ping) request  id=0xbcf3, seq=4/1024, ttl=64 (reply in 41)"
256.499591,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=775/1795, ttl=64 (request in 1240)"
691.459257,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1070/11780, ttl=128 (reply in 2488)"
509.436139,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=313/14593, ttl=128 (reply in 8677)"
2327.862667,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=2268/56328, ttl=64 (request in 12775)"
2693.942132,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=2547/62217, ttl=128 (reply in 14629)"
168.336335,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=716/52226, ttl=128 (reply in 990)"
846.479793,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=1194/43524, ttl=64 (request in 4250)"
294.211326,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=808/10243, ttl=128 (reply in 1370)"
471.252265,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=281/6401, ttl=128 (reply in 8559)"
1822.184651,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1923/33543, ttl=128 (reply in 11059)"
1641.399426,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=1785/63750, ttl=64 (request in 10223)"
733.867594,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1104/20484, ttl=128 (reply in 2604)"
52.891602,62.203.155.212,81.131.67.131,ICMP,70,Destination unreachable (Port unreachable)
362.361702,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=193/49408, ttl=128 (reply in 7737)"
2402.852803,172.16.18.2,192.168.137.147,ICMP,134,Time-to-live exceeded (Time to live exceeded in transit)
839.360707,172.217.3.78,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=549/9474, ttl=114 (request in 10262)"
960.441777,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1269/62724, ttl=128 (reply in 7268)"
411.681183,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=895/32515, ttl=64 (request in 1633)"
882.146938,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=1218/49668, ttl=128 (reply in 6680)"
326.318383,192.168.137.147,192.168.137.187,ICMP,74,"Echo (ping) request  id=0x0001, seq=158/40448, ttl=128 (reply in 7566)"
872.300304,192.168.137.147,172.217.3.78,ICMP,74,"Echo (ping) request  id=0x0001, seq=578/16898, ttl=128 (reply in 10384)"
1532.162228,192.168.137.187,192.168.137.147,ICMP,74,"Echo (ping) reply    id=0x0001, seq=1689/39174, ttl=64 (request in 9961)"
