Time,Source,Destination,Protocol,Length,Info
2617.567105,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=284308340 Ack=475306 Win=1259264 Len=1440 [TCP segment of a reassembled PDU]
1662.224088,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:3f0:4005:407::200e,TCP,1514,59745  >  443 [ACK] Seq=2311578 Ack=1017989 Win=512 Len=1440 [TCP segment of a reassembled PDU]
2249.990456,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=218340411 Ack=365552 Win=983808 Len=1440 [TCP segment of a reassembled PDU]
2322.138315,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=227657348 Ack=381243 Win=1024256 Len=1440 [TCP segment of a reassembled PDU]
124.083471,20.189.173.13,192.168.20.26,TCP,60,443  >  60703 [ACK] Seq=14438 Ack=160893 Win=525568 Len=0
886.966851,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,443  >  61093 [ACK] Seq=11541944 Ack=18514 Win=112896 Len=1440 [TCP segment of a reassembled PDU]
1572.927267,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,2800:480:ff50:503::e,TCP,74,61093  >  443 [ACK] Seq=195380 Ack=118366804 Win=264960 Len=0
1687.906275,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=135058132 Ack=224497 Win=631808 Len=1440 [TCP segment of a reassembled PDU]"
2219.080027,2800:480:ff50:503::e,2800:484:b384:c80a:f81c:f268:6f0b:c2f4,TCP,1514,"443  >  61093 [PSH, ACK] Seq=214201604 Ack=358839 Win=967936 Len=1440 [TCP segment of a reassembled PDU]"
25.10123,13.107.21.200,192.168.137.147,TCP,66,"443  >  62469 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
