Time,Source,Destination,Protocol,Length,Info
94.117037,192.168.137.147,239.255.255.250,UDP,666,55445  >  3702 Len=624
16.563477,81.131.67.131,85.216.130.151,UDP,61,41730  >  5180 Len=19
50.703125,81.131.67.131,212.129.214.254,UDP,61,41730  >  6346 Len=19
0.14033,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
1.490939,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
17.532227,81.131.67.131,81.190.139.194,UDP,61,41730  >  6346 Len=19
7.282227,81.131.67.131,80.144.139.239,UDP,61,41730  >  6346 Len=19
1.765625,213.164.97.197,81.131.67.131,UDP,61,6346  >  41730 Len=19
48.391602,81.131.67.131,211.147.232.106,UDP,61,41730  >  17626 Len=19
6.860352,81.131.67.131,38.115.4.204,UDP,50,41730  >  21284 Len=8
46.094727,38.115.4.204,81.131.67.131,UDP,54,21284  >  41730 Len=12
8.376953,81.131.67.131,85.96.110.115,UDP,61,41730  >  6346 Len=19
935.189674,192.168.137.1,255.255.255.255,UDP,56,62334  >  3289 Len=14
5.671875,81.131.67.131,213.22.134.120,UDP,50,41730  >  19408 Len=8
73.713702,192.168.137.147,239.255.255.250,UDP,666,52891  >  3702 Len=624
10.048828,83.53.165.235,81.131.67.131,UDP,50,6346  >  41730 Len=8
11.720703,81.131.67.131,69.4.150.232,UDP,61,41730  >  6346 Len=19
50.625,81.131.67.131,81.247.65.177,UDP,61,41730  >  6346 Len=19
52.844727,81.131.67.131,83.203.140.221,UDP,61,41730  >  6346 Len=19
34.063477,84.160.51.248,81.131.67.131,UDP,61,6346  >  41730 Len=19
19.391602,81.131.67.131,82.171.96.179,UDP,61,41730  >  6346 Len=19
56.876953,81.131.67.131,83.214.23.135,UDP,50,41730  >  6346 Len=8
4.326926,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
0.096452,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
94.8237,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,55446  >  3702 Len=624
0.544634,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
1376.632585,192.168.137.1,255.255.255.255,UDP,56,58925  >  3289 Len=14
3.922629,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
57.626953,81.131.67.131,86.196.189.113,UDP,50,41730  >  6346 Len=8
8.765625,81.131.67.131,84.228.12.31,UDP,61,41730  >  6346 Len=19
0.359375,81.131.67.131,65.30.55.121,UDP,50,41730  >  6346 Len=8
98.17544,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,53616  >  3702 Len=624
22.110352,81.131.67.131,83.117.6.35,UDP,61,41730  >  6346 Len=19
14.126953,81.131.67.131,83.116.155.57,UDP,61,41730  >  6346 Len=19
6.640625,81.131.67.131,216.252.228.53,UDP,61,41730  >  6346 Len=19
3.9375,81.131.67.131,68.186.167.166,UDP,550,41730  >  13778 Len=508
33.528321,81.131.67.131,80.57.189.205,UDP,405,41730  >  37582 Len=363
10.048828,81.131.67.131,83.53.165.235,UDP,50,41730  >  6346 Len=8
2107.762906,192.168.137.1,255.255.255.255,UDP,56,59780  >  3289 Len=14
107.146119,192.168.137.1,255.255.255.255,UDP,56,62574  >  3289 Len=14
16.19043,81.131.67.131,62.193.101.150,UDP,61,41730  >  6346 Len=19
153.679257,192.168.137.1,255.255.255.255,UDP,56,56498  >  3289 Len=14
48.422852,81.131.67.131,200.158.81.150,UDP,61,41730  >  6346 Len=19
52.813477,81.131.67.131,219.137.42.1,UDP,61,41730  >  6346 Len=19
7.360352,81.131.67.131,81.247.65.177,UDP,61,41730  >  6346 Len=19
31.415039,81.131.67.131,219.149.233.209,UDP,61,41730  >  6346 Len=19
8.51255,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
45.393555,212.195.108.125,81.131.67.131,UDP,54,6346  >  41730 Len=12
57.580078,86.196.189.113,81.131.67.131,UDP,61,6346  >  41730 Len=19
5.607422,81.131.67.131,83.117.6.35,UDP,61,41730  >  6346 Len=19
2.40625,68.62.236.42,81.131.67.131,UDP,61,28101  >  41730 Len=19
17.250977,81.131.67.131,82.252.14.139,UDP,50,41730  >  6346 Len=8
9.96875,81.131.67.131,60.240.56.21,UDP,50,41730  >  6346 Len=8
838.365408,192.168.137.1,255.255.255.255,UDP,56,53797  >  3289 Len=14
18.875977,81.131.67.131,172.187.35.142,UDP,50,41730  >  6346 Len=8
30.73255,192.168.137.147,239.255.255.250,UDP,666,63256  >  3702 Len=624
544.434069,192.168.137.1,255.255.255.255,UDP,56,57070  >  3289 Len=14
0.09375,81.131.67.131,62.203.155.212,UDP,61,41730  >  6346 Len=19
23.923828,81.131.67.131,210.80.167.146,UDP,61,41730  >  6346 Len=19
3.242925,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
11.082896,193.63.53.155,224.1.2.3,UDP,66,1976  >  6003 Len=24
0.34375,81.56.116.170,81.131.67.131,UDP,61,6346  >  41730 Len=19
5.943158,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
119.428195,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,53624  >  3702 Len=624
3.068168,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
6.181641,81.131.67.131,84.149.148.25,UDP,61,41730  >  6346 Len=19
