"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.251.23.139","62.39.3.142","Syslog","118","LOCAL2.ERR: Jan  2 10:09:52 nb6 chillispot[4222]: C:192.168.2.83/00:19:7D:3B:6F:D4\\n"
"2","0.218216","HuaweiTe_f0:45:d7","Sfr_30:42:41","ARP","60","Who has 10.194.144.196? Tell 10.194.144.1"
"3","0.219665","HuaweiTe_f0:45:d7","Sfr_05:b2:21","ARP","60","Who has 10.194.144.67? Tell 10.194.144.1"
"4","0.221143","HuaweiTe_f0:45:d7","UbeeInte_00:e0:9d","ARP","60","Who has 10.194.144.22? Tell 10.194.144.1"
"5","0.222117","HuaweiTe_f0:45:d7","Sfr_8e:45:29","ARP","60","Who has 10.251.196.189? Tell 10.251.196.1"
"6","0.224356","HuaweiTe_f0:45:d7","Sagemcom_29:64:29","ARP","60","Who has 10.251.196.176? Tell 10.251.196.1"
"7","1.794591","95.136.242.99","109.6.1.72","PPP LCP","68","Echo Request"
"8","1.819663","109.6.1.72","95.136.242.99","PPP LCP","70","Echo Reply"
"9","3.047733","95.136.242.99","109.6.1.72","L2TP","70","Control Message - Hello (tunnel id=1527, session id=0)"
"10","3.073242","109.6.1.72","95.136.242.99","L2TP","62","Control Message - ZLB      (tunnel id=18994, session id=0)"
"11","4.990813","109.6.1.72","95.136.242.99","PPP LCP","74","Echo Request"
"12","4.991134","95.136.242.99","109.6.1.72","PPP LCP","72","Echo Reply"
"13","4.999445","Sfr_18:c2:72","HuaweiTe_f0:45:d7","ARP","42","Who has 10.251.23.1? Tell 10.251.23.139"
"14","5.032962","HuaweiTe_f0:45:d7","Sfr_18:c2:72","ARP","60","10.251.23.1 is at 80:fb:06:f0:45:d7"
"15","5.216245","HuaweiTe_f0:45:d7","Sfr_ae:ba:81","ARP","60","Who has 10.194.144.57? Tell 10.194.144.1"
"16","5.217729","HuaweiTe_f0:45:d7","Sfr_81:98:61","ARP","60","Who has 10.194.144.145? Tell 10.194.144.1"
"17","5.219666","HuaweiTe_f0:45:d7","Sfr_66:65:b1","ARP","60","Who has 10.194.144.49? Tell 10.194.144.1"
"18","14.342833","95.136.242.99","109.0.66.20","DNS","77","Standard query 0x6508 A perdu.com"
"19","14.343717","95.136.242.99","109.0.66.20","DNS","77","Standard query 0x0947 AAAA perdu.com"
"20","14.369951","109.0.66.20","95.136.242.99","DNS","138","Standard query response 0x0947 AAAA perdu.com SOA ns1.dreamhost.com"
"21","14.375865","109.0.66.20","95.136.242.99","DNS","93","Standard query response 0x6508 A perdu.com A 208.97.177.124"
"22","14.393000","95.136.242.99","109.0.66.20","DNS","87","Standard query 0xe69b A hotspot.wifi.sfr.fr"
"23","14.393283","95.136.242.99","109.0.66.20","DNS","87","Standard query 0x740c AAAA hotspot.wifi.sfr.fr"
"24","14.420966","109.0.66.20","95.136.242.99","DNS","103","Standard query response 0xe69b A hotspot.wifi.sfr.fr A 109.0.74.75"
"25","14.421944","109.0.66.20","95.136.242.99","DNS","159","Standard query response 0x740c AAAA hotspot.wifi.sfr.fr SOA ns1.9services.com"
"26","14.423855","95.136.242.99","109.0.74.75","TCP","82","65386  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1452 SACK_PERM TSval=982856 TSecr=0 WS=128"
"27","14.456445","109.0.74.75","95.136.242.99","TCP","82","443  >  65386 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1380 SACK_PERM TSval=189810180 TSecr=982856 WS=128"
"28","14.458148","95.136.242.99","109.0.74.75","TCP","74","65386  >  443 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=982866 TSecr=189810180"
"29","14.458485","95.136.242.99","109.0.74.75","TLSv1","259","Client Hello"
"30","14.492163","109.0.74.75","95.136.242.99","TCP","74","443  >  65386 [ACK] Seq=1 Ack=186 Win=6912 Len=0 TSval=189810184 TSecr=982866"
"31","14.493635","109.0.74.75","95.136.242.99","TLSv1","1442","Server Hello"
"32","14.494159","109.0.74.75","95.136.242.99","TCP","1442","443  >  65386 [ACK] Seq=1369 Ack=186 Win=6912 Len=1368 TSval=189810184 TSecr=982866 [TCP segment of a reassembled PDU]"
"33","14.495079","95.136.242.99","109.0.74.75","TCP","74","65386  >  443 [ACK] Seq=186 Ack=1369 Win=32000 Len=0 TSval=982877 TSecr=189810184"
"34","14.495706","95.136.242.99","109.0.74.75","TCP","74","65386  >  443 [ACK] Seq=186 Ack=2737 Win=34688 Len=0 TSval=982877 TSecr=189810184"
"35","14.529643","109.0.74.75","95.136.242.99","TLSv1","706","Certificate, Server Hello Done"
"36","14.531721","95.136.242.99","109.0.74.75","TCP","74","65386  >  443 [ACK] Seq=186 Ack=3369 Win=37504 Len=0 TSval=982888 TSecr=189810188"
"37","14.539740","95.136.242.99","109.0.74.75","TLSv1","388","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"38","14.542437","95.136.242.99","109.0.66.20","DNS","83","Standard query 0x24ce A ocsp.thawte.com"
"39","14.542975","95.136.242.99","109.0.66.20","DNS","83","Standard query 0xada7 AAAA ocsp.thawte.com"
